epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.5048,0.3439,1.2941,0.4456
2,1.2694,0.4592,1.2004,0.5094
3,1.1531,0.5156,1.0494,0.571
4,1.0697,0.5562,0.9523,0.6186
5,0.9777,0.5997,0.86,0.6634
6,0.9061,0.628,0.7832,0.6904
7,0.8335,0.6575,0.7216,0.716
8,0.7977,0.6725,0.674,0.7332
9,0.7561,0.6875,0.6464,0.7409
10,0.7232,0.7001,0.6253,0.7436
11,0.7017,0.7088,0.5898,0.7651
12,0.6817,0.7158,0.5763,0.7598
13,0.6604,0.722,0.5705,0.7628
14,0.6433,0.7341,0.5632,0.7658
15,0.6278,0.7385,0.5577,0.7646
16,0.6212,0.7399,0.542,0.7699
17,0.6062,0.7448,0.5372,0.7792
